epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.621,0.45756,0.77099,0.57356,0.91585,0,0.88112,0.83475,0.89371,0.83606,0.8856,0.83898,0.89862,0.80946,0.36446,1.0636,0.57708,0.87426,0,0.000662037,0.000662037,0.000662037
2,74.3654,0.4515,0.721,0.37584,0.91122,0,0.99045,0.95763,0.96803,0.91093,0.99483,0.96186,0.96594,0.86793,0.32708,0.9418,0.37629,0.84108,0,0.0013024,0.0013024,0.0013024
3,109.778,0.44742,0.77441,0.42391,0.9008,0,0.97597,0.95763,0.96684,0.91679,0.98089,0.96186,0.96705,0.66222,0.32901,2.22633,0.49287,0.85255,0,0.00191635,0.00191635,0.00191635
4,144.95,0.47494,0.79402,0.39396,0.91368,0,0.99041,0.95763,0.97387,0.94167,0.99479,0.96186,0.97483,0.9096,0.29996,0.52358,0.26837,0.83932,0,0.0018812,0.0018812,0.0018812
5,180.365,0.44593,0.63187,0.34928,0.89989,0,0.99849,0.97034,0.975,0.93044,0.99849,0.97034,0.975,0.89205,0.28258,0.5411,0.23198,0.83011,0,0.0018416,0.0018416,0.0018416
6,216.226,0.42361,0.67185,0.33118,0.89309,0,0.99962,0.97034,0.975,0.94884,1,0.97416,0.975,0.93977,0.28324,0.4003,0.22026,0.82333,0,0.001802,0.001802,0.001802
7,253.611,0.41996,0.57214,0.31345,0.89679,0,0.99565,0.96935,0.97496,0.94731,0.99565,0.96935,0.97496,0.93906,0.28651,0.38582,0.19971,0.82371,0,0.0017624,0.0017624,0.0017624
8,290.516,0.38686,0.55212,0.29094,0.87546,0,0.99957,0.97458,0.975,0.94879,0.99957,0.97458,0.975,0.93755,0.23915,0.42187,0.17852,0.82412,0,0.0017228,0.0017228,0.0017228
9,328.054,0.37808,0.55047,0.27969,0.87746,0,0.99823,0.95763,0.97124,0.94252,0.98499,0.97034,0.97478,0.94011,0.24764,0.39942,0.20008,0.82229,0,0.0016832,0.0016832,0.0016832
10,364.886,0.37304,0.54286,0.27197,0.8761,0,1,0.97388,0.975,0.95666,1,0.97388,0.975,0.9501,0.22342,0.36399,0.16827,0.80892,0,0.0016436,0.0016436,0.0016436
11,402.198,0.35325,0.50603,0.26192,0.87429,0,0.99446,0.97034,0.97496,0.95388,0.99446,0.97034,0.97496,0.9398,0.22768,0.36679,0.16767,0.81221,0,0.001604,0.001604,0.001604
12,438.623,0.35983,0.51326,0.26553,0.86952,0,0.99555,0.97034,0.97496,0.9593,0.99555,0.97034,0.97496,0.9523,0.22587,0.35698,0.1894,0.80647,0,0.0015644,0.0015644,0.0015644
13,474.558,0.34343,0.5176,0.25041,0.86057,0,0.99517,0.97034,0.97491,0.96049,0.99952,0.97458,0.975,0.94558,0.21474,0.37125,0.15933,0.80708,0,0.0015248,0.0015248,0.0015248
14,510.984,0.34848,0.48512,0.24609,0.86105,0,0.83445,0.96109,0.81847,0.80138,0.83445,0.96109,0.81847,0.80068,0.23441,0.36122,0.36353,0.81916,0,0.0014852,0.0014852,0.0014852
15,546.835,0.34728,0.48382,0.24173,0.86869,0,0.99474,0.97034,0.97491,0.95823,0.99909,0.97458,0.975,0.95498,0.23439,0.35634,0.15562,0.81435,0,0.0014456,0.0014456,0.0014456
16,582.99,0.34353,0.48551,0.24263,0.8722,0,0.68731,0.96186,0.71188,0.69579,0.68731,0.96186,0.71188,0.69487,0.22652,0.33171,0.37752,0.82005,0,0.001406,0.001406,0.001406
17,619.222,0.35236,0.48144,0.24379,0.86173,0,0.99962,0.97458,0.975,0.95865,0.99962,0.97458,0.975,0.95287,0.243,0.34903,0.16252,0.81206,0,0.0013664,0.0013664,0.0013664
18,656.169,0.3441,0.45824,0.24136,0.85791,0,0.99517,0.97458,0.975,0.96042,0.99517,0.97458,0.975,0.95922,0.20049,0.28763,0.15587,0.80129,0,0.0013268,0.0013268,0.0013268
19,693.464,0.32585,0.42941,0.22623,0.85854,0,0.99529,0.97034,0.97496,0.96458,0.99529,0.97034,0.97496,0.96431,0.19665,0.27771,0.14848,0.79955,0,0.0012872,0.0012872,0.0012872
20,729.687,0.32454,0.44997,0.22599,0.85663,0,0.9995,0.97458,0.975,0.96599,0.9995,0.97458,0.975,0.95951,0.19396,0.28203,0.14818,0.80322,0,0.0012476,0.0012476,0.0012476
21,766.591,0.3157,0.43097,0.22074,0.85378,0,0.99973,0.97458,0.975,0.96296,0.99973,0.97458,0.975,0.95786,0.20039,0.28689,0.13751,0.7978,0,0.001208,0.001208,0.001208
22,802.721,0.30496,0.41787,0.21147,0.84816,0,0.99524,0.97458,0.97496,0.96218,0.99524,0.97458,0.97496,0.95966,0.19784,0.30642,0.14151,0.80407,0,0.0011684,0.0011684,0.0011684
23,837.847,0.30977,0.41629,0.21798,0.84972,0,0.99991,0.97458,0.975,0.9626,0.99991,0.97458,0.975,0.96462,0.17391,0.25707,0.1302,0.79943,0,0.0011288,0.0011288,0.0011288
24,872.876,0.3062,0.41465,0.21356,0.84885,0,0.99933,0.97458,0.975,0.96064,0.99933,0.97458,0.975,0.9645,0.19576,0.26061,0.13503,0.80044,0,0.0010892,0.0010892,0.0010892
